Note,Time,NoteSum
0,1000,74
1,1500,
2,2000,
3,2500,
0,3000,
0,3500,
1,4000,
2,4500,
3,5000,
3,5500,
2,6500,
2,7500,
3,8500,
1,9500,
2,10500,
3,11000,
3,11500,
0,12000,
2,12500,
1,13000,
0,13500,
1,14000,
2,14200,
3,14400,
0,14600,
1,14800,
2,15000,
3,15200,
2,15400,
1,15600,
0,15800,
1,16000,
3,16200,
2,16400,
2,16600,
0,16800,
3,17000,
0,17200,
1,17400,
0,17600,
3,17800,
1,18000,
0,18200,
1,18200,
2,18400,
3,18400,
0,18400,
1,19000,
2,19200,
3,19200,
0,19400,
1,19400,
2,19400,
3,20000,
0,20500,
1,21000,
2,21500,
3,22000,
2,22500,
0,23000,
0,23500,
1,24000,
2,24500,
3,25000,
0,25500,
1,26000,
2,26500,
3,27000,
0,27500,
1,28000,
2,28500,
3,29000,
0,29500,
1,30000,
